FECHA (YYMMDD);Registros validados
210101;896.296
210201;721.429
210301;147.742
210401;292.333
210501;872.667
210601;126.033
210701;434.839
210801;61.871
210901;338.333
211001;157.742
211101;109.667
211201;554.839
