FECHA (YYMMDD);Registros validados
210101;9,03226
210201;9,4
210301;9,12903
210401;10,2
210501;8,16129
210601;9,83333
210701;17,75
210801;15,0385
210901;14,931
211001;13,2258
211101;9,16667
211201;7,25806
