FECHA (YYMMDD);Registros validados
180101;13.43
180401;9.96
180701;15.75
181001;15.62
190101;9.32
190401;11.3
190701;11.98
191001;14.42
200101;12.09
200401;12.52
200701;10.75
201001;13.53
