FECHA (YYMMDD);Registros validados
180701;846.703
181001;18.3
190101;161.059
190401;649.753
190701;708.804
191001;164.348
200101;127.791
200401;684.505
200701;639.239
201001;122.609
210101;104.884
210401;808.444
210701;465.326
211001;107.609
220101;101.047
220401;314.483
