FECHA (YYMMDD);Registros validados
210101;9.03
210201;9.4
210301;9.13
210401;10.2
210501;8.16
210601;9.9
210701;17.75
210801;15.04
210901;14.9
211001;13.23
211101;9.17
211201;7.26
